timestamp,ping_google.com [ms]
1470060182,48.8
1470061382,5.8
1470062583,6.0
1470063782,5.8
1470064983,5.65
1470066182,5.72
1470067382,6.0
1470068582,5.85
1470069782,5.65
1470070982,5.7
1470072182,5.73
1470073383,5.7
1470074583,6.36
1470075783,6.53
1470076982,6.01
1470078182,6.1
1470079382,5.58
1470080582,5.72
1470081782,6.74
1470082982,5.62
1470084182,5.64
1470085382,5.84
1470086582,6.55
1470087782,6.97
1470088982,8.42
1470090182,5.75
1470091382,5.63
1470092582,5.61
1470093783,6.22
1470094982,5.74
1470096183,5.65
1470097382,5.83
1470098582,5.67
1470099783,5.68
1470100982,5.68
1470102182,5.72
1470103382,5.61
1470104582,5.82
1470105783,5.59
1470106982,5.54
1470108183,5.62
1470109382,40.3
1470110582,5.57
1470111782,5.59
1470112982,40.1
1470114182,5.65
1470115382,5.53
1470116582,5.61
1470117782,5.59
1470118982,40.3
1470120183,47.5
1470121382,40.0
1470122582,52.9
1470123782,5.57
1470124982,5.52
1470126182,5.61
1470127382,5.57
1470128582,54.1
1470129782,40.2
1470130982,40.8
1470132182,40.0
1470133382,39.5
1470134582,47.7
1470135783,48.1
1470136983,48.1
1470138182,40.4
1470139382,48.1
1470140582,5.84
1470141783,5.86
1470142982,5.82
1470144182,5.63
1470145382,5.69
1470146582,7.94
1470147782,5.71
1470148982,5.72
1470150182,5.62
1470151382,47.8
1470152582,40.6
1470153782,40.0
1470154982,48.0
1470156182,40.0
1470157382,49.9
1470158582,6.34
1470159782,5.68
1470160982,5.65
1470162182,6.02
1470163382,5.86
1470164582,6.29
1470165782,6.48
1470166982,5.89
1470168183,5.72
1470169382,5.69
1470170582,5.96
1470171782,6.16
1470172983,6.19
1470174182,6.5
1470175383,6.85
1470176582,35.9
1470177782,40.4
1470178982,48.2
1470180182,48.5
1470181382,5.59
1470182582,5.62
1470183782,7.78
1470184983,5.67
1470186182,5.72
1470187382,5.86
1470188582,6.42
1470189782,5.69
1470190982,5.6
1470192182,48.5
1470193383,39.9
1470194582,48.8
1470195783,41.2
1470196982,40.9
1470198182,40.4
1470199382,40.4
1470200582,48.3
1470201782,40.0
1470202982,48.7
1470204183,48.5
1470205382,40.8
1470206582,5.63
1470207782,5.73
1470208982,5.6
1470210182,5.65
1470211382,5.66
1470212582,5.68
1470213782,5.64
1470214982,5.71
1470216182,5.81
1470217383,7.2
1470218582,6.32
1470219782,6.4
1470220983,6.95
1470222182,6.17
1470223382,6.45
1470224582,6.84
1470225782,5.69
1470226983,5.82
1470228182,5.66
1470229383,5.68
1470230582,5.77
1470231782,6.36
