timestamp,ping_google.com [ms]
1470034262,5.66
1470034562,5.52
1470034862,5.61
1470035162,5.7
1470035462,5.6
1470035762,5.67
1470036063,5.5
1470036362,5.54
1470036662,5.68
1470036962,5.76
1470037262,5.58
1470037562,5.53
1470037862,5.61
1470038162,5.52
1470038462,5.6
1470038762,5.69
1470039062,5.59
1470039362,5.51
1470039662,5.63
1470039962,5.91
1470040262,5.65
1470040563,5.68
1470040863,5.53
1470041163,5.79
1470041463,5.69
1470041762,5.67
1470042062,5.64
1470042362,6.5
1470042662,5.67
1470042962,5.64
1470043262,5.71
1470043562,5.85
1470043862,5.76
1470044162,15.0
1470044462,40.1
1470044762,6.36
1470045062,6.14
1470045362,6.52
1470045662,6.84
1470045962,6.97
1470046262,6.44
1470046562,6.56
1470046862,9.25
1470047163,6.2
1470047463,6.78
1470047762,6.62
1470048062,7.08
1470048362,6.7
1470048663,6.74
1470048963,6.64
1470049263,48.1
1470049562,6.6
1470049863,6.49
1470050163,6.93
1470050463,6.69
1470050762,6.7
1470051062,5.78
1470051362,6.13
1470051662,6.21
1470051962,5.95
1470052262,6.63
1470052562,5.86
1470052862,6.14
1470053162,6.24
1470053462,40.1
1470053762,5.71
1470054062,40.2
1470054363,6.35
1470054662,39.8
1470054962,5.68
1470055262,5.68
1470055562,5.86
1470055862,5.72
1470056162,5.84
1470056462,5.69
1470056762,5.63
1470057062,48.3
1470057362,16.4
1470057662,8.28
1470057962,5.61
1470058262,48.5
1470058562,5.76
1470058862,40.1
1470059163,48.5
1470059462,5.99
1470059762,40.9
1470060062,40.2
1470060362,40.4
1470060662,40.0
1470060962,48.6
1470061262,47.9
1470061562,40.4
1470061862,5.96
1470062163,47.7
1470062463,48.1
1470062763,45.0
1470063062,40.4
1470063362,40.1
1470063662,39.9
1470063963,5.76
1470064263,40.1
1470064563,5.63
1470064863,6.05
1470065162,5.58
1470065462,5.56
1470065762,5.56
1470066062,5.58
1470066362,7.37
1470066662,6.52
1470066962,48.6
1470067262,8.39
1470067562,6.0
1470067862,6.03
1470068162,5.62
1470068462,5.68
1470068763,5.98
1470069062,5.64
1470069362,5.96
1470069662,5.86
1470069962,5.8
1470070262,5.65
1470070562,5.63
1470070862,6.54
1470071162,6.24
1470071462,6.96
1470071762,5.76
1470072062,5.78
1470072362,5.8
1470072662,5.76
1470072963,5.62
1470073263,5.77
1470073562,5.62
1470073862,5.74
1470074162,5.77
1470074463,6.53
1470074763,5.82
1470075063,5.79
1470075362,5.58
1470075663,6.29
1470075962,7.14
1470076262,5.7
1470076562,6.09
1470076862,5.69
1470077162,6.0
