timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1482365582,24.812,57.75,-8.0
1482379982,24.437,None,-9.125
1482394382,24.625,None,-10.125
1482408782,25.5,65.5,-1.625
1482423182,25.562,64.687,-2.937
1482624782,None,None,None
1482639182,None,None,None
1482653582,None,None,None
1482667982,None,None,None
1482682382,None,None,None
1482696782,None,None,None
1482711182,None,None,None
1482725583,24.125,49.687,-0.187
1482739982,24.0,50.937,-0.75
1482754383,24.0,50.687,-0.125
1482768782,24.312,51.5,0.437
1482783182,25.875,52.687,-0.75
1482797582,24.625,52.437,-0.875
1482811982,24.0,51.937,-0.437
1482826382,23.687,51.562,-0.312
1482840782,24.75,50.5,1.0
1482855182,24.875,50.0,1.125
1482869582,23.875,49.687,0.5
1482883982,24.562,50.187,1.062
1482898382,23.25,50.125,1.062
1482912782,23.687,49.437,1.187
1482927182,24.125,49.187,3.125
1482941582,23.937,48.562,3.125
1482955982,24.125,48.75,1.937
1482970382,25.437,48.812,2.75
1482984782,24.687,48.312,2.937
1482999182,24.562,48.062,3.25
1483013582,25.437,47.5,4.5
1483027982,24.75,47.187,4.75
1483042382,25.25,46.187,3.687
1483056783,25.562,47.75,3.625
1483071182,24.937,47.437,3.25
1483143191,25.937,48.75,2.687
1483157582,25.5,49.0,2.75
1483171982,25.125,49.0,2.687
1483186382,24.25,48.312,3.062
1483200782,25.937,48.375,3.0
1483215182,26.25,47.812,7.937
1483229582,25.625,48.375,3.437
1483243983,25.687,48.312,3.5
1483258382,25.125,47.687,3.687
1483272782,24.625,47.187,5.25
1483287182,25.0,47.375,7.5
1483301582,25.562,47.0,4.812
1483315982,25.25,46.0,4.875
1483330382,24.812,46.375,4.5
1483344782,24.625,46.375,4.437
1483359182,25.5,46.562,4.75
1483373582,24.687,47.437,4.187
1483387982,24.75,48.75,2.812
1483402382,25.062,48.625,2.75
1483416782,24.875,48.125,3.375
1483431182,24.875,47.312,3.375
1483445582,24.687,47.125,4.375
1483459982,25.375,46.437,4.875
1483474382,25.562,46.312,3.812
1483488782,25.937,46.812,9.375
1483503182,24.687,48.125,3.875
1483517583,24.687,51.5,1.937
1483531983,26.0,51.062,2.687
1483546383,26.5,50.687,7.375
1483560782,25.687,50.625,1.562
1483575183,25.062,51.625,0.687
1483589583,25.0,55.375,-0.375
1483603982,24.687,55.187,-1.312
1483618383,24.625,56.187,-0.812
1483632782,25.0,54.5,-0.5
1483647182,24.687,53.75,-1.562
1483661582,23.75,52.312,-0.812
1483675982,24.5,51.937,-0.187
1483690382,25.0,51.312,0.562
1483704782,24.75,49.25,2.687
1483719182,25.0,48.25,3.187
1483733582,25.437,48.375,2.937
1483747982,25.187,50.0,1.875
1483762382,25.062,53.437,0.875
1483776783,25.312,53.687,0.562
1483791182,25.125,52.75,1.687
1483805582,25.312,51.937,2.375
1483819982,26.25,52.125,0.062
1483834382,25.5,53.125,-0.562
1483848782,25.375,54.312,-1.125
1483863182,25.312,56.312,-1.625
1483877583,25.375,59.562,4.5
1483891982,25.5,61.312,4.937
1483906382,26.187,66.75,-0.812
1483920782,27.875,66.25,-6.125
1483935182,25.5,67.875,-7.375
1483949583,25.312,66.75,-8.25
1483963982,25.5,67.812,-0.437
1483978382,26.437,65.812,0.25
1483992783,27.75,68.812,-7.937
1484007182,25.937,71.25,-10.125
1484021582,25.75,72.312,-11.062
1484035982,25.187,73.062,-11.812
1484050382,25.375,69.5,-10.0
1484064782,27.937,64.187,-4.125
1484079182,27.25,60.25,-8.875
1484093582,24.937,57.312,-7.0
1484107983,24.062,55.75,-6.562
1484122382,23.437,53.312,-5.5
1484136782,23.812,52.812,-3.25
1484151182,24.125,49.5,-1.375
1484165582,24.25,51.25,-1.875
1484179983,25.187,49.812,-1.5
1484194382,23.812,49.875,-1.187
1484208782,23.75,50.062,-0.75
1484223182,23.687,50.187,0.5
1484237582,23.437,49.812,0.875
1484251983,24.312,51.437,0.187
1484266382,24.5,51.187,-0.062
1484280782,23.812,53.562,-0.937
1484295182,24.062,56.75,-2.75
1484309582,25.312,58.75,4.937
1484323982,24.312,55.0,1.312
1484338382,26.687,54.937,4.937
1484352782,25.25,53.937,-0.5
1484367183,25.125,53.437,-0.875
1484381582,24.812,53.312,-1.187
1484395982,24.812,53.125,0.5
1484410382,24.5,52.125,0.75
1484424783,24.875,53.25,-0.812
1484439182,25.812,53.875,-1.375
1484453582,24.812,54.812,-2.562
1484467983,24.5,55.375,-3.312
1484482382,24.375,56.125,2.25
1484496782,25.562,56.687,5.625
1484511182,26.125,59.5,-2.937
1484525582,26.125,60.25,-5.125
1484539982,25.687,60.75,-6.625
1484554382,25.0,62.375,-7.062
1484568783,24.75,61.5,2.062
1484583182,25.437,57.187,3.812
1484597582,25.5,56.937,-3.437
1484611982,26.312,59.0,-4.5
1484626383,24.625,59.812,-5.25
1484640782,24.5,59.75,-5.687
1484655182,24.687,58.75,4.5
1484669582,26.312,55.625,4.0
1484683982,25.562,56.812,-2.062
1484698383,25.687,59.312,-3.437
1484712782,24.687,58.937,-4.375
1484727183,24.687,59.062,-4.875
1484741582,24.25,58.625,-1.75
1484755983,24.312,57.062,0.5
1484770382,25.187,58.687,-3.375
1484784782,25.0,58.687,-4.375
1484799183,24.75,59.937,-5.0
1484813582,24.25,59.937,-5.312
1484827982,24.687,57.312,-2.625
1484842382,24.312,54.875,1.687
1484856783,24.125,55.875,-2.875
1484871182,24.312,54.75,2.25
1484885582,22.875,53.75,-2.437
1484899983,22.5,52.625,-2.062
1484914383,23.125,52.437,-0.562
1484928782,23.375,51.25,0.0
1484943182,23.562,51.062,-0.437
1484957582,23.5,48.25,0.125
1484971982,23.5,48.812,0.187
1484986382,22.937,49.812,0.062
1485000782,23.437,52.25,10.187
1485015182,24.437,52.812,6.187
1485029582,24.312,53.125,1.687
1485043983,24.812,54.062,0.187
1485058382,24.75,54.625,-0.625
1485072782,24.437,54.687,-1.312
1485087182,24.875,53.687,4.687
1485101583,24.875,52.25,3.25
1485115982,24.312,52.687,-0.125
1485130382,24.375,53.687,-0.562
1485144782,24.125,53.437,-0.875
1485159182,24.0,53.687,-0.937
1485173582,23.937,53.312,1.25
1485187983,24.125,53.125,1.687
