timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1477184882,25.125,47.562,6.062
1477188483,25.312,48.312,5.125
1477192082,25.125,48.562,4.812
1477195682,24.875,48.687,4.625
1477199282,24.937,48.937,4.437
1477202882,24.75,48.937,4.125
1477206483,24.75,49.062,3.937
1477210082,24.687,49.062,3.937
1477213682,24.625,49.25,4.312
1477217282,24.875,49.062,7.75
1477220882,25.25,48.062,19.625
1477224482,25.875,47.562,23.875
1477228082,None,46.875,23.687
1477231682,None,46.25,20.625
1477235282,None,45.937,17.0
1477238883,None,45.75,15.187
1477242482,None,45.437,13.375
1477246082,None,45.187,11.437
1477249682,None,45.437,10.062
1477253282,None,45.687,9.125
1477256882,None,45.687,8.75
1477260483,None,45.812,8.375
1477264082,None,46.062,8.25
1477267682,None,46.187,8.125
1477271282,None,46.375,8.0
1477274882,None,46.375,7.812
1477278482,None,46.562,7.75
1477282082,None,46.687,7.625
1477285683,None,46.812,7.375
1477289283,None,46.75,7.312
1477292882,None,46.625,7.25
1477296482,None,46.625,7.125
1477300082,None,46.437,7.062
1477303682,None,46.375,7.187
1477307282,None,46.25,8.875
1477310883,None,46.312,8.187
1477314482,None,46.125,8.0
1477318082,None,45.875,13.812
1477321682,None,45.187,12.937
1477325283,None,44.812,13.25
1477328882,None,44.437,11.187
1477332482,None,43.437,8.937
1477336082,None,44.062,8.812
1477339682,None,44.937,8.312
1477343283,None,45.25,7.875
1477346882,None,45.125,8.312
1477350482,None,45.375,10.687
1477354082,24.875,45.375,7.187
1477357682,24.812,45.75,7.0
1477361282,None,45.812,6.937
1477364882,24.687,45.812,6.875
1477368482,24.687,45.875,6.812
1477372082,24.5,46.0,6.75
1477375682,24.562,46.0,6.625
1477379282,24.437,46.0,6.625
1477382882,24.437,45.937,6.625
1477386482,24.437,45.875,6.625
1477390082,24.375,45.812,6.75
1477393682,24.5,45.687,7.0
1477397283,24.5,45.625,8.562
1477400882,24.562,45.625,8.875
1477404483,24.562,45.875,8.625
1477408082,24.625,45.875,8.625
1477411682,24.75,45.937,8.375
1477415282,24.625,45.625,8.0
1477418883,24.562,45.125,7.562
1477422482,25.0,44.687,7.437
1477426083,24.75,44.625,7.375
1477429682,24.75,45.062,7.375
1477433283,24.687,45.125,7.125
1477436882,24.687,45.312,7.062
1477440482,24.687,45.437,7.0
1477444082,24.625,45.625,6.937
1477447682,24.625,45.625,6.875
1477451282,24.562,45.75,6.812
1477454882,24.562,45.75,6.75
1477458482,24.562,45.875,6.687
1477462082,24.5,45.812,6.562
1477465682,24.437,45.75,6.5
1477469282,24.375,45.625,6.437
1477472882,24.375,45.625,6.437
1477476482,24.375,45.625,6.5
1477480082,24.562,45.562,6.75
1477483682,24.5,45.562,6.937
1477487282,25.125,45.375,8.25
1477490882,25.062,45.437,8.375
1477494482,25.5,45.5,8.312
1477498082,None,45.625,8.375
1477501682,25.312,45.5,8.187
1477505282,25.375,45.625,8.312
1477508882,None,45.75,6.875
1477512482,None,45.687,6.562
1477516082,None,45.625,6.312
1477519683,None,45.375,6.25
1477523283,24.75,45.062,6.125
1477526882,24.812,45.312,6.062
1477530482,24.75,45.5,6.0
1477534082,24.75,45.5,6.0
1477537682,24.687,45.437,6.0
1477541282,24.687,45.437,5.937
1477544882,24.625,45.437,5.937
1477548482,24.687,45.437,5.875
1477552082,24.562,45.437,5.75
1477555682,24.625,45.375,5.687
1477559282,24.5,45.312,5.687
1477562883,24.5,45.25,5.687
1477566482,24.437,45.375,5.75
1477570083,24.812,45.437,5.875
1477573682,24.812,45.312,6.062
1477577282,24.687,45.437,5.937
1477580882,24.562,45.625,6.0
1477584482,25.125,45.75,7.125
1477588082,25.125,45.562,7.437
1477591683,25.375,45.812,6.0
1477595282,24.75,45.687,5.687
1477598882,24.687,45.5,5.5
1477786082,24.687,48.062,4.875
1477789683,24.812,48.25,4.812
1477793282,24.687,48.25,4.687
1477796882,24.687,48.187,4.625
1477800482,24.625,48.187,4.625
1477804082,24.687,48.25,4.562
1477807682,24.625,48.312,4.437
1477811282,24.687,48.437,4.437
1477814882,24.5,48.5,4.437
1477818483,24.5,48.437,4.5
1477822083,24.5,48.187,5.125
1477825682,24.5,47.562,6.812
1477829282,24.375,47.187,6.937
1477832882,24.5,46.937,6.875
1477836483,24.375,46.875,6.812
1477840082,24.812,46.875,6.687
1477843682,24.875,46.875,5.875
1477847282,24.812,46.562,5.437
1477850882,24.937,46.562,4.875
1477854482,25.0,46.562,4.5
1477858083,None,46.562,4.25
1477861682,25.312,46.625,4.062
1477865282,25.187,47.375,3.75
1477868882,25.062,47.75,3.812
1477872483,25.25,47.875,3.75
1477876083,25.312,48.062,3.75
1477879682,25.437,48.187,3.75
1477883282,25.187,48.25,3.687
1477886882,None,48.375,3.875
1477890482,24.437,48.5,3.625
1477894083,24.437,48.5,3.437
1477897682,24.312,48.437,3.375
1477901282,24.312,48.25,3.312
1477904883,24.375,48.312,3.437
1477908482,24.375,48.187,4.312
1477912082,24.5,48.0,5.375
1477915682,24.625,47.75,6.312
1477919282,24.5,47.062,6.812
1477922882,24.687,46.5,7.0
1477926482,24.687,46.375,6.687
1477930082,24.625,46.25,6.375
1477933682,24.562,46.062,6.0
1477937283,24.625,46.0,5.625
1477940882,25.312,46.0,5.625
1477944482,None,45.75,5.375
1477948082,None,46.187,5.0
1477951682,None,46.437,5.062
1477955282,None,46.812,4.937
1477958882,25.375,47.25,4.75
1477962482,25.312,47.562,4.5
1477966082,25.187,47.687,4.25
1477969682,25.0,47.812,4.125
