timestamp,ping_google.com [ms]
1472882882,48.0
1472886482,5.68
1472890082,5.64
1472893682,5.77
1472897282,48.0
1472900882,40.2
1472904482,40.5
1472908082,40.1
1472911682,40.4
1472915282,47.1
1472918882,39.5
1472922483,40.5
1472926082,48.6
1472929682,48.1
1472933282,40.7
1472936882,47.9
1472940482,40.1
1472944082,40.3
1472947682,39.9
1472951282,43.6
1472954882,5.59
1472958482,41.3
1472962082,41.5
1472965682,5.58
1472969282,5.58
1472972883,5.6
1472976482,5.62
1472980082,48.4
1472983682,41.6
1472987282,48.2
1472990882,40.5
1472994482,41.3
1472998082,40.6
1473001682,41.0
1473005282,42.9
1473008882,48.3
1473012482,40.6
1473016082,40.2
1473019683,48.9
1473023282,47.9
1473026882,40.4
1473030483,40.4
1473034083,48.0
1473037683,42.8
1473041282,5.64
1473044882,48.9
1473048483,39.6
1473052082,5.63
1473055682,5.63
1473059283,5.59
1473062883,5.7
1473066482,5.68
1473070082,41.1
1473073682,41.6
1473077282,42.1
1473080882,50.3
1473084482,40.3
1473088082,41.7
1473091682,41.7
1473095282,41.1
1473098882,41.3
1473102482,39.7
1473106082,39.9
1473109682,40.5
1473113282,50.8
1473116882,40.5
1473120482,41.5
1473124082,41.6
1473127682,5.58
1473131283,5.6
1473134882,5.56
1473138483,5.57
1473142082,5.57
1473145682,5.56
1473149282,5.58
1473152882,5.66
1473156482,5.59
1473160082,49.0
1473163683,43.3
1473167282,40.1
1473170882,48.3
1473174482,41.4
1473178083,47.4
1473181682,47.8
1473185282,42.4
1473188882,40.1
1473192482,41.8
1473196083,41.4
1473199683,40.1
1473203282,41.1
1473206882,48.0
1473210482,40.5
1473214082,5.54
1473217682,5.59
1473221282,5.56
1473224883,5.55
1473228482,5.57
1473232083,5.66
1473235682,5.6
1473239282,5.61
1473242882,5.6
1473246482,41.3
1473250083,49.7
1473253682,41.6
1473257282,42.0
1473260882,49.1
1473264482,40.5
1473268082,47.2
1473271682,40.6
1473275282,39.7
1473278882,40.1
1473282483,40.1
1473286082,40.0
1473289682,39.5
1473293283,39.8
1473296883,42.3
1473300482,5.64
1473304082,5.64
1473307682,5.63
1473311282,5.62
1473314883,5.64
1473318482,5.66
1473322082,5.74
1473325682,40.9
1473329282,5.88
1473332882,5.66
1473336482,40.9
1473340083,43.2
1473343682,47.5
1473347283,41.0
1473350882,40.0
1473354482,48.5
1473358082,41.5
1473361682,47.9
1473365282,40.4
1473368882,48.8
1473372482,48.8
1473376082,49.5
1473379683,40.8
1473383282,48.2
1473386882,5.6
1473390482,39.9
1473394082,5.68
1473397682,5.68
1473401283,5.56
1473404882,5.62
1473408482,5.59
1473412083,40.5
1473415683,48.3
1473419282,40.6
1473422883,48.9
1473426482,41.4
1473430082,40.6
1473433683,40.3
1474718882,41.0
1474722482,50.3
1474726083,39.9
1474729682,39.9
1474733282,41.0
1474736882,40.1
1474740482,40.1
1474744082,40.2
1474747682,41.0
1474751282,41.4
1474754883,48.4
1474758482,48.9
1474762083,49.5
1474765682,48.8
