timestamp,ping_google.com [ms]
1466957222,57.0
1467044882,47.6
1467131283,49.5
1467217682,40.3
1467304082,40.4
1467390482,39.9
1467476883,40.3
1467563282,55.4
1467649683,49.3
1467736082,48.6
1467822482,40.0
1467908882,40.7
1467995282,48.6
1468081683,40.2
1468168082,49.1
1468254482,48.8
1468340883,5.72
1468427282,40.7
1468513682,40.4
1468600082,40.1
1468686483,7.15
1469032083,5.66
1469118482,46.2
1469204882,39.9
1469291282,5.7
1469377682,5.98
1469464082,48.9
1469550482,48.7
1469636882,40.0
1469723282,39.8
1469809683,6.71
1469896082,5.75
1469982482,5.82
1470068883,5.88
1470155282,40.5
1470241682,5.93
1470328082,5.88
1470414482,6.21
1470500882,5.66
1470587282,48.4
1470673683,40.3
1470760082,40.3
1470846483,41.4
1470932882,40.3
1471019282,7.28
1471192082,40.4
1471278482,6.24
1471364882,41.8
1471451283,95.3
1471537682,40.1
1471624082,47.8
1471796882,5.74
1471883282,5.72
1471969682,40.2
1472056082,40.7
1472142482,5.71
1472228882,49.4
1472401682,41.5
1472488082,50.3
1472574482,47.6
1472660883,5.69
1472747282,47.8
1472833683,49.7
1472920082,40.2
1473006482,45.2
1473092882,40.3
1473179282,40.8
1473265682,39.9
1473352082,40.6
1474734482,40.6
1474820882,40.7
1474907282,48.5
1474993682,50.0
1475080082,48.6
