timestamp,ping_google.com [ms]
1473221582,5.57
1473235982,5.57
1473250383,41.4
1473264782,48.1
1473279182,48.0
1473293583,48.8
1473307983,5.62
1473322382,5.64
1473336782,41.9
1473351182,41.1
1473365582,40.7
1473379982,40.4
1473394383,5.64
1473408783,5.59
1473423183,41.0
1474719182,40.7
1474733582,40.0
1474747983,49.2
1474762382,40.2
1474776782,5.56
1474791182,5.6
1474805582,40.9
1474819982,42.7
1474834382,40.9
1474848782,48.5
1474863182,5.63
1474877582,5.68
1474891982,40.0
1474906382,40.0
1474920782,49.0
1474935183,48.4
1474949582,5.59
1474963983,49.7
1474978382,40.3
1474992782,40.0
1475007183,48.5
1475021582,41.2
1475035982,41.0
1475050382,42.4
1475064782,47.6
1475079182,40.8
1475093582,40.2
1475107982,49.3
1475122382,5.7
1475136783,39.6
1475151182,48.8
1475165582,40.3
1475179983,40.3
1475194382,49.2
1475208782,5.65
1475223182,5.62
1475338382,48.0
1475352782,48.6
1475367182,49.0
1475381582,5.58
1475395982,5.59
1475410382,41.0
1475424783,47.8
1475439182,40.9
1475453582,43.3
1475467982,47.7
1475482382,48.2
1475496782,40.4
1475511183,41.1
1475525582,51.0
1475539982,40.8
1475583182,48.2
1475597582,48.4
1475611982,48.8
1475626382,47.8
1475640782,44.6
1475655182,5.83
1475669583,47.4
1475683983,40.3
1475698382,50.1
1475712782,50.0
1475727182,5.51
1475741582,5.56
1475755983,39.6
1475770383,40.6
1475784782,41.0
1475799182,49.2
1475813582,5.63
1475827982,5.58
1475842383,5.66
1475856782,41.9
1475871182,55.0
1475885582,40.1
1475899983,5.6
1475914382,5.67
1475928782,44.2
1475943182,39.7
1475957582,40.3
1475971982,48.2
1475986382,5.57
1476000782,5.59
1476015182,49.3
1476029583,41.4
1476043982,43.5
1476058382,40.7
1476072783,52.1
1476087183,5.7
1476101583,41.1
1476115983,41.4
1476130382,44.6
1476144782,47.2
1476159183,5.58
1476173582,5.65
1476187982,48.9
1476202382,40.6
1476216782,40.5
1476231182,39.7
1476245582,41.3
1476259982,5.55
1476274383,50.3
1476288782,47.0
1476303182,48.0
1476317583,48.3
1476331983,5.52
1476346382,5.55
1476360782,42.7
1476375182,40.2
1476389582,49.5
1476403983,41.8
1476418382,5.67
1476432782,5.65
1476576782,40.9
1476591183,5.61
1476605582,5.66
1476619982,48.5
1476634383,47.9
1476648782,49.3
1476663182,49.5
1476677582,5.63
1476691982,5.7
1476706383,48.4
1476720783,47.8
1476735182,49.5
1476749582,49.5
1476763982,5.54
1476778382,5.67
1476792782,48.8
1476807182,39.3
1476821583,48.0
1476835982,43.0
1476850382,5.63
1476864782,5.72
1476879182,47.1
1476893582,42.5
1476907983,41.0
1476922382,40.0
1476936782,41.1
1476951182,5.54
1476965583,46.2
1476979982,44.8
1476994382,52.0
1477181582,47.6
1477195982,5.59
1477210382,49.2
1477224782,43.8
1477239182,51.3
1477253582,47.0
1477267982,47.5
1477282382,5.63
1477296783,45.1
1477311182,44.7
1477325582,51.3
1477339982,52.2
1477354382,51.3
1477368783,48.8
1477383182,5.57
1477397582,41.2
1477411982,44.2
1477426382,49.2
1477440783,48.6
1477455182,5.57
1477469582,5.62
1477483982,40.6
1477498382,87.0
1477512783,47.7
